issue_id,title,category,category_name,target,target_note,power_abuse,power_abuse_note,power_type,power_type_note,visibility,visibility_note,recourse,recourse_note,triggers_retaliation,tier,scope_note,countries,era_start,era_end,severity_1_5,frequency_1_5,deniability_1_5,cost_money_usd_low,cost_money_usd_high,cost_time_days_low,cost_time_days_high,cost_energy_1_5,evidence,confidence,summary,detail_file,detail_count
GAT-001,The decision that is final and reviewable by nobody,GAT,"Gatekeeping: the person who can say no, and does",applicant,Someone applying for something,required,Cannot happen without a position of power over the target,discretion,Decides a case with no obligation to explain or be reviewed,deniable,Constructed so that the target cannot prove it happened,none,No mechanism exists,no,primary,,*,2000,2026,5,5,5,200,20000,1,1095,5,official,high,"The defining structure of gatekeeping abuse: one official, one decision, no appeal, no written reasons, and a record that follows you. Everything else in this category is a variation on it.",details/GAT-001.csv,5
GAT-002,Your job does not exist on their list,GAT,"Gatekeeping: the person who can say no, and does",migrant,"A migrant, visa applicant or non-citizen",required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,"US,CA,MX",2000,2026,5,4,4,500,15000,1,365,5,official,high,"The TN occupation list was fixed in the 1994 NAFTA appendix and has not moved. 'Data Scientist' is not on it. The applicant is refused not because they are unqualified but because the list is thirty years old, and the officer is not permitted to notice that.",details/GAT-002.csv,6
GAT-003,Any defect will do,GAT,"Gatekeeping: the person who can say no, and does",applicant,Someone applying for something,required,Cannot happen without a position of power over the target,discretion,Decides a case with no obligation to explain or be reviewed,deniable,Constructed so that the target cannot prove it happened,none,No mechanism exists,no,primary,,*,2000,2026,4,5,5,100,8000,7,365,5,estimate,low,"Where the decision is already made, the stated ground is selected afterwards from whatever is available: the transcript, the date format, the missing stamp, the phrasing of a letter. The pretext is real, which is what makes it unanswerable.",details/GAT-003.csv,5
GAT-004,Compliance with the tone as a condition of the outcome,GAT,"Gatekeeping: the person who can say no, and does",applicant,Someone applying for something,required,Cannot happen without a position of power over the target,discretion,Decides a case with no obligation to explain or be reviewed,deniable,Constructed so that the target cannot prove it happened,none,No mechanism exists,yes,primary,,*,2000,2026,5,4,5,200,20000,1,1095,5,estimate,low,The brief names this precisely: being refused for not complying with abusive language. The official is rude; the applicant's reaction to the rudeness becomes evidence; the evidence justifies the refusal. Nothing in the file records that the officer went first.,details/GAT-004.csv,5
GAT-005,The question you are not allowed to be unable to answer,GAT,"Gatekeeping: the person who can say no, and does",migrant,"A migrant, visa applicant or non-citizen",required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,"US,CA",2000,2026,4,4,4,300,10000,1,180,5,estimate,low,"Who is the end client. What is their address. Who supervises you day to day. Questions that are reasonable for the officer to ask and frequently impossible for the applicant to answer, because the answer is commercially confidential, not yet decided, or not theirs to give.",details/GAT-005.csv,4
GAT-006,The document that is correct and not accepted,GAT,"Gatekeeping: the person who can say no, and does",applicant,Someone applying for something,required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,no,primary,,*,2000,2026,4,5,4,50,4000,14,365,5,estimate,low,"The transcript, the certificate, the translation, the stamp. Genuine, sufficient, and rejected on a formal ground that could have been stated at the outset and was not.",details/GAT-006.csv,4
GAT-007,"Same file, different officer, opposite outcome",GAT,"Gatekeeping: the person who can say no, and does",applicant,Someone applying for something,required,Cannot happen without a position of power over the target,discretion,Decides a case with no obligation to explain or be reviewed,deniable,Constructed so that the target cannot prove it happened,none,No mechanism exists,no,primary,,*,2000,2026,5,4,5,200,15000,1,730,5,legal,high,"The clearest evidence that the variable is not the applicant. Two decisions on identical facts, days apart, in opposite directions - and no mechanism anywhere treats that as a problem.",details/GAT-007.csv,4
GAT-008,The queue as the instrument,GAT,"Gatekeeping: the person who can say no, and does",applicant,Someone applying for something,required,Cannot happen without a position of power over the target,gatekeeping,Controls access to a thing the target needs,deniable,Constructed so that the target cannot prove it happened,none,No mechanism exists,no,primary,,*,2000,2026,5,5,5,200,30000,30,1095,5,estimate,low,"No refusal is issued. The application is simply not decided - past the appointment, past the start date, past the point at which the thing it was for still exists.",details/GAT-008.csv,4
LNG-001,"Babe, sweetheart, dear, from somebody with power",LNG,"Language, address and naming",client,A client or customer,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",nominal,A mechanism exists on paper and does not function,yes,primary,,*,2000,2026,2,5,5,0,500,0,5,4,official,high,"The brief's own example. A man in a position of power calling women customers 'babe'. Individually trivial, universally understood, and constructed so that objecting makes the objector the problem.",details/LNG-001.csv,7
LNG-002,"First names one way, titles the other",LNG,"Language, address and naming",anyone,Anyone,enabled,"Happens between equals too, but is transformed by power",social,"Controls reputation, belonging or standing in a group",subtle,"Recognisable to the target, arguable to a bystander",none,No mechanism exists,no,primary,,*,2000,2026,2,5,5,0,0,0,0,3,estimate,low,He is Doctor. She is Sarah. The asymmetry is never announced and is maintained by everyone in the room.,details/LNG-002.csv,4
