detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
MOV-001-001,MOV-001,fact,1,"The count, and its composition","As of December 2025 OCHA documented 925 movement obstacles restricting 3.4 million Palestinians: 89 checkpoints staffed 24/7, 218 partial checkpoints, 232 road gates, 114 linear closures such as earthwalls and trenches, 167 earthmounds and 105 roadblocks.",PS,2025,under_occupation,0,0,,0,0,,5,Nine hundred and twenty-five separate reasons to be late.,official,high,"OCHA, Movement and Access in the West Bank",https://www.ochaopt.org/content/movement-and-access-west-bank-april-2026,2026-04,
MOV-001-002,MOV-001,fact,1,It is 43% above the twenty-year average,"The 20-year annual average is 647 obstacles. The current figure is 43% higher, and about half of the increase since early 2023 was already in place by March 2024.",PS,2023-2025,under_occupation,0,0,,0,0,,4,Not a bad year. A different regime.,official,high,,,,
MOV-001-003,MOV-001,fact,2,"The infrastructure became permanent, which is the real change","Checkpoints and road gates are now nearly 60% of all obstacles. Two decades ago that elaborate infrastructure was 15%, and roughly 73% of obstacles were ad hoc earthmounds and roadblocks. Temporary inconvenience has been rebuilt in concrete and steel.",PS,2005-2025,under_occupation,0,0,,0,0,,4,They stopped pretending it was temporary.,official,high,,,,
MOV-001-004,MOV-001,fact,2,Gates are the growth product,Over 120 new road gates were installed in 2025. Gates rose from 34% of all obstacles in February 2025 (288 of 849) to more than 41% by December (384 of 925). A gate costs nothing to close and needs no soldier standing at it.,PS,2025,under_occupation,0,0,,0,0,,5,A padlock is cheaper than a checkpoint and works better.,official,high,,,,
MOV-001-005,MOV-001,fact,2,What they actually cut off,"At least 459 obstacles - half of them - block or hinder access between Palestinian villages and the main roads. At least 20% block access to agricultural land, about 60% of those being earthmounds and roadblocks.",PS,2000-2026,under_occupation,0,0,,0,0,,5,"Your village, and the road, and a pile of earth between them.",official,high,,,,
MOV-001-006,MOV-001,fact,3,"The journey has no timetable, which is the cost","A 25km trip can take 40 minutes or five hours and there is no way to know which before setting out. Every appointment must be planned for the worst case, so the buffer time is spent whether or not the delay happens.",*,2000-2026,under_occupation,0,0,,30,200,Cumulative days per year lost to buffer and delay.,5,Paying for the traffic jam that didn't happen.,estimate,low,,,,
MOV-001-007,MOV-001,scenario,3,SCENARIO - the 09:00 appointment,"The clinic in Ramallah opens at nine. She leaves Nablus at half five because of Za'tara, sits ninety minutes at a gate that turns out to be open, arrives at 07:40 and waits on a plastic chair for eighty minutes. The appointment lasts eleven minutes.",*,2000-2026,palestinian_women,0,0,,1,1,,5,Four hours of travel for eleven minutes of medicine.,estimate,low,,,,
MOV-001-008,MOV-001,fact,4,Two things OCHA does not count,The count excludes checkpoints on the Green Line and excludes 'closed military zone' declarations and the closure of Jenin and Tulkarm camps for returnees. The real number of things that can stop you is higher than the number in the report.,PS,2000-2026,under_occupation,0,0,,0,0,,4,Even the count of the obstacles is an undercount.,official,high,,,,
MOV-001-009,MOV-001,fact,5,You stop planning anything that requires crossing,"The rational adaptation is to shrink your life to what is reachable without a checkpoint: the job in town rather than the better one in the city, the local college rather than the good one, the cousin you see rather than the aunt you don't. Nobody records this as a restriction because nobody applied for anything.",*,2000-2026,under_occupation,0,0,,0,0,,5,A life sized to fit between two checkpoints.,estimate,low,,,,
MOV-001-010,MOV-001,example,1,"EXAMPLE - the December 2025 composition, item by item","925 obstacles restricting 3.4 million people: 89 checkpoints staffed 24/7, 218 partial checkpoints, 232 road gates, 114 linear closures such as earthwalls and trenches, 167 earthmounds and 105 roadblocks. Against a twenty-year annual average of 647.",PS,2025,under_occupation,0,0,,0,0,,5,"Counted, itemised, and 43% above the twenty-year average.",official,high,OCHA,,2025-12,
