detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
PSY-005-001,PSY-005,fact,1,The mechanism,"Dependent and spousal visas tie status to a relationship. Ending the relationship can end the right to remain, which changes what leaving costs and therefore what can be tolerated.",*,2000-2026,iranian_men,0,0,,0,0,,5,Unable to leave for reasons that have nothing to do with love.,estimate,medium,,,,
PSY-005-002,PSY-005,fact,2,"It is not gender-specific, and it is not symmetrical","It applies to whoever holds the dependent status. In practice that is more often the woman, but an Iranian man on a spousal permit is in exactly the same position and has fewer services aimed at him.",*,2000-2026,iranian_men,0,0,,0,0,,4,,estimate,low,,,,
PSY-005-003,PSY-005,fact,3,Time pressure distorts choices,"A person with eighteen months of status remaining is choosing a partner against a deadline, which is a bad condition for choosing anything. Both the rushing and the settling are produced by the permit.",*,2000-2026,iranian_men,0,0,,0,0,,5,Choosing a life against a countdown.,estimate,low,,,,
PSY-005-004,PSY-005,scenario,3,SCENARIO - the engagement that was really a deadline,"Maryam's permit expires in July. The relationship is eleven months old and fine, not certain. They get engaged in April. Neither of them says the word 'permit' during the conversation, and both of them are thinking about it.",*,2000-2026,iranian_men,0,0,,0,0,,5,A decision made by a date stamp.,estimate,low,,,,
PSY-005-005,PSY-005,fact,4,Reporting costs more than enduring,"Where abuse occurs, the dependent partner may reasonably believe that reporting risks their status, their children's schooling and their right to stay - so the structural incentive runs toward silence.",*,2000-2026,iranian_men,0,0,,0,0,,5,,estimate,low,,,,Well recognised in domestic violence and immigration practice; most jurisdictions have some provision for it. Layer-5 target: the specific protections and their real-world uptake.
PSY-005-006,PSY-005,fact,2,The protection exists and it is slow,"US VAWA self-petition lets an abused spouse of a citizen or permanent resident apply for status without the abuser's knowledge, consent or involvement. USCIS does not notify third parties and the petitioner can designate a safe address. No police report is required.",US,2000-2026,iranian_men,0,0,,0,0,,2,"The remedy is real, which matters.",official,high,USCIS VAWA guidance,https://www.uscis.gov/sites/default/files/document/foia/National_Engagement-VAWA_I-360_Self-Petition-T_Visa_and_U_Visa-Q&A.pdf,,ANSWERS PSY-005-005.
PSY-005-007,PSY-005,fact,2,Three and a half to four years,"2026 USCIS data puts I-360 processing at roughly 41.5-46.5 months for 80% of cases, with adjustment of status adding another 8-24 months. Work authorisation is what lets a survivor support herself without the abuser - and it is years away.",US,2026,iranian_men,0,0,,1245,1395,"I-360 alone, before adjustment.",5,A way out that takes four years to open.,official,high,USCIS processing data via practitioner analysis,https://ilabacalaw.com/blog/immigration-help/vawa-to-green-card-how-the-self-petition-process-works-in-2026/,,
PSY-005-008,PSY-005,fact,3,Abuse is defined broadly,"Qualifying abuse includes physical and sexual abuse, threats of violence, verbal degradation, emotional abuse, isolation, intimidation, ECONOMIC ABUSE, and threats to take the children or have the victim deported - which is the specific threat that immigration status makes credible.",US,2000-2026,iranian_men,0,0,,0,0,,5,The threat to have you deported is itself listed as the abuse.,official,high,USCIS / NIWAP,https://niwaplibrary.wcl.american.edu/wp-content/uploads/Transforming-Lives-Final-6.8.21-Final.pdf,,
PSY-005-009,PSY-005,fact,4,Denied for reasons unrelated to the abuse,"One practitioner analysis reports 18% of 2024 VAWA petitions denied on grounds unconnected to the abuse claim - prior immigration issues, certain convictions, unlawful presence triggering three- or ten-year bars, final removal orders. Waivers exist and add complexity.",US,2024,iranian_men,0,0,,0,0,,5,"Surviving it, and still failing on a technicality from years earlier.",legal,low,Practitioner analysis,https://peterchu.com/blogs/medium-feed/vawa-disqualifications-bars-eligibility-limits,,
PSY-005-010,PSY-005,fact,4,And the category queue still applies,Self-petitioners who are immediate relatives of US citizens can adjust on approval; spouses and children of permanent residents must still wait for a visa number in their category.,US,2000-2026,iranian_men,0,0,,0,0,,4,,official,high,,,,
