detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
NAM-001-001,NAM-001,fact,1,The variants are all correct,Mohammad / Mohammed / Muhammad / Mohamad. Hosseini / Husseini / Hoseini / Hossaini. Reza / Rida. Gholam / Gholam / Qolam. None is a misspelling; they are different romanisations of the same Persian.,*,2000-2026,iranian_men,0,0,,0,0,,3,,estimate,high,,,,
NAM-001-002,NAM-001,example,1,EXAMPLE - the degree does not match the passport,"A degree certificate translated in 2009 and a passport issued in 2016 can carry different spellings, and the credential evaluator treats them as documents about two people.",*,2000-2026,iranian_men,200,1200,"Re-translation, affidavit, re-legalisation.",30,180,,5,,estimate,medium,,,,
NAM-001-003,NAM-001,example,2,EXAMPLE - the one-and-the-same-person affidavit,"The standard fix is a sworn affidavit that the two names denote the same person - which must itself be notarised, sometimes legalised, and then accepted at the discretion of whoever reads it.",*,2000-2026,iranian_men,50,800,,14,90,,4,A legal document asserting that you are yourself.,estimate,medium,,,,
NAM-001-004,NAM-001,example,2,EXAMPLE - the airline will not board you,"Airline systems require the ticket to match the travel document. A booking made with the spelling on the old passport, or by an employer's travel desk working from an email signature, can mean denied boarding at the gate with a non-refundable fare.",*,2000-2026,iranian_men,200,3000,Change fee or a new one-way fare at the counter.,0,0,,5,"Standing at the gate, correctly documented, not travelling.",estimate,medium,,,,
NAM-001-005,NAM-001,example,3,EXAMPLE - the surname/given-name swap,"Iranian documents often present the family name first. Western forms assume given name first. The result is a person filed under their own first name as a surname, permanently, across an institution.",*,2000-2026,iranian_men,0,0,,0,0,,4,,estimate,medium,,,,
NAM-001-006,NAM-001,example,3,EXAMPLE - the father's name has nowhere to go,"Iranian identity documents foreground the father's name. Most Western forms have no field for it, so it lands in the middle-name box on some records and nowhere on others - producing a mismatch generated by the form design itself.",*,2000-2026,iranian_men,0,0,,0,0,,4,,estimate,medium,,,,
NAM-001-007,NAM-001,example,4,EXAMPLE - the field is too short,"Legacy systems truncate. A long name is silently cut at 20 or 25 characters in a payroll, insurance or health system, and the truncated version becomes the official one that every later check is run against.",*,2000-2026,iranian_men,0,0,,0,0,,4,"Your name, as much of it as fitted.",estimate,low,,,,
NAM-001-008,NAM-001,example,4,EXAMPLE - diacritics eaten by the system,"Where a name has been transliterated with accents or apostrophes - Sa'idi, Ta'ati - systems strip, replace or reject them inconsistently, producing yet another variant.",*,2000-2026,iranian_men,0,0,,0,0,,3,,estimate,low,,,,
NAM-001-009,NAM-001,scenario,3,SCENARIO - denied boarding at Pearson,"Omid's ticket, booked by his employer's travel desk from his email signature, reads OMID HOSSEINI. His passport reads HOSEINI. At the gate the agent will not board him. The correction is a name-change fee plus a fare difference: CAD 780, and the meeting in Munich happens without him.",*,2000-2026,iranian_men,600,600,,0,0,,5,"One letter, one flight, one client.",estimate,low,,,,
NAM-001-010,NAM-001,scenario,4,SCENARIO - the degree that belonged to someone else,"WES receives Omid's MSc transcript spelled MOHAMMADI and his passport spelled MOHAMADI. The file goes on hold pending clarification. He obtains a one-and-the-same-person affidavit, notarised and legalised - USD 310 and nine weeks - to establish that he is himself.",*,2000-2026,iranian_men,310,310,,63,63,,5,,estimate,low,,,,
