detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
TEC-001-001,TEC-001,fact,1,"GitHub, July 2019","GitHub restricted users in Iran, Syria and Crimea, suspending private repositories and paid services. Restrictions were applied by IP address and payment history, with warnings against using VPNs to disguise location.",*,2019,iranian_men,0,0,,0,0,,5,"Your own code, behind a wall.",journalism,high,TechCrunch,https://techcrunch.com/2019/07/29/github-ban-sanctioned-countries/,2019-07-29,
TEC-001-002,TEC-001,fact,1,"AWS, August 2019",Iranians reported receiving emails that their AWS accounts had been disabled for sanctions compliance. Developers lost academic work and running applications stopped.,*,2019,iranian_men,0,0,,0,0,,5,,journalism,high,Al Jazeera,https://www.aljazeera.com/amp/economy/2019/10/2/locked-out-why-is-amazon-blocking-iranians-from-its-services,2019-10,
TEC-001-003,TEC-001,fact,1,"Slack, December 2018 - people who had already left","Slack deactivated accounts of Iranians even where they had left Iran, and apologised after international coverage for deactivating accounts it should not have.",*,2018,iranian_men,0,0,,0,0,,5,"Punished for where you were born, years after leaving.",journalism,high,TechCrunch / Al Jazeera,https://www.aljazeera.com/economy/2019/7/31/locked-out-did-us-tech-company-overcomply-with-iran-sanctions,,
TEC-001-004,TEC-001,fact,2,The appeal is a selfie and a passport,Users wrongly suspended could appeal by supplying government photo ID and a selfie to prove residency - proving a negative about where you are not.,*,2000-2026,iranian_men,0,0,,7,90,,5,Identity documents demanded by a private company.,journalism,high,TechCrunch,https://techcrunch.com/2019/07/29/github-ban-sanctioned-countries/,,
TEC-001-005,TEC-001,fact,2,No way to be paid,"Stripe, PayPal and the major US processors are unavailable, so Iranian freelancers and open-source contributors have no legitimate route to receive international payment. Apple and Google developer accounts are also restricted.",*,2000-2026,iranian_men,0,20000,Income foregone; unquantified.,0,0,,5,,journalism,high,ISOC Pulse,https://pulse.internetsociety.org/en/blog/2024/11/breaking-the-web-how-sanctions-are-undermining-irans-access-to-the-internet/,,
TEC-001-006,TEC-001,fact,3,"Overcompliance, acknowledged",The Internet Society notes the technical ramifications extend far beyond the intended scope. GitHub rolled back some restrictions after criticism - which confirms they were broader than required.,*,2000-2026,iranian_men,0,0,,0,0,,4,,ngo,high,ISOC Pulse,https://pulse.internetsociety.org/en/blog/2024/11/breaking-the-web-how-sanctions-are-undermining-irans-access-to-the-internet/,,
TEC-001-007,TEC-001,fact,4,The double bind,"The alternatives are Iranian infrastructure, which is censored and surveilled, or diaspora family accounts and VPNs, which breach the platforms' terms and risk permanent ban. There is no compliant option.",*,2000-2026,iranian_men,0,0,,0,0,,5,Every available choice is against some rule.,journalism,medium,The Next Web,https://thenextweb.com/news/the-iranian-developer-deadlock-stuck-between-censorship-and-us-sanctions,,
TEC-001-008,TEC-001,example,3,EXAMPLE - restricted by payment history,GitHub's restrictions keyed off IP address AND PAYMENT HISTORY - so a card once used from Iran could mark an account years later and anywhere.,*,2000-2026,iranian_men,0,0,,0,0,,5,A five-year-old transaction as evidence of residence.,journalism,high,TechCrunch,https://techcrunch.com/2019/07/29/github-ban-sanctioned-countries/,,
TEC-001-009,TEC-001,example,4,EXAMPLE - even visiting was enough,Users who had merely VISITED Iran reported being caught in the dragnet and having to appeal with documents proving they were not based there.,*,2000-2026,iranian_men,0,0,,0,0,,5,,journalism,medium,Al Jazeera,https://www.aljazeera.com/economy/2019/7/31/locked-out-did-us-tech-company-overcomply-with-iran-sanctions,,
TEC-001-010,TEC-001,scenario,3,SCENARIO - the account he built for six years,"Reza's GitHub holds six years of commits, two libraries with real users, and the portfolio that gets him interviews. In 2019 his private repositories are restricted; the appeal form asks for a government photo ID and a selfie. He has lived in Berlin for four months. He sends both to a company he has never spoken to.",*,2000-2026,iranian_men,0,20000,,21,90,,5,Handing your passport to a website to get your own work back.,estimate,low,,,,
