detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
EMP-001-001,EMP-001,fact,1,The deemed export rule,"15 CFR 734.20: releasing technology or source code subject to the EAR to a foreign national is deemed an export to that person's country, even entirely inside the US. Visual inspection or conversation can count.",US,2000-2026,iranian_men,0,0,,0,0,,4,,official,high,BIS deemed exports guidance,https://www.bis.doc.gov/index.php/14-policy-guidance/deemed-exports/109-guidelines-for-foreign-national-licenses,,
EMP-001-002,EMP-001,fact,1,Why Iran is different from other foreign nationals,"ITAR prohibits licences for countries under US and UN arms embargoes. Iran is in that category, so licensing is effectively unavailable rather than merely slow. Iran-specific sanctions reach further still, covering technical assistance to Iranian nationals ordinarily resident in Iran even when temporarily elsewhere.",US,2000-2026,iranian_men,0,0,,0,0,,5,Not a queue - a closed door.,official,high,GVSU export controls - Iran sanctions,https://www.gvsu.edu/export/iran-sanctions-18.htm,,
EMP-001-003,EMP-001,fact,1,The green card is the escape hatch,"The deemed export rule applies only to foreign persons. US citizens, lawful permanent residents, and protected individuals including refugees and asylees are US persons and are NOT subject to deemed-export licensing.",US,2000-2026,iranian_men,0,0,,0,0,,1,"Genuinely good news, and widely misunderstood by employers.",official,high,BIS deemed exports guidance,https://www.bis.doc.gov/index.php/14-policy-guidance/deemed-exports/109-guidelines-for-foreign-national-licenses,,"IMPORTANT for the narrative and for real life: status, not ethnicity, controls here. Employers who refuse Iranian-born green card holders on export grounds are wrong in law."
EMP-001-004,EMP-001,fact,2,What employers actually do,"Licences take months, cost money and are rarely pursued for one hire when citizen candidates exist. The practical result is a blanket practice of not hiring non-US persons for controlled roles.",US,2000-2026,iranian_men,0,0,,0,0,,5,No refusal is ever stated in these terms; the application just does not progress.,legal,medium,Redstone GCI,https://info.redstonegci.com/blog/hiring-foreign-nationals-in-compliance-with-itar-ear-and-immigration-laws,,
EMP-001-005,EMP-001,fact,2,The anti-discrimination tension,DOJ's position is that employers must consider all work-qualified applicants and obtain authorisation where needed. Blanket 'US citizens only' postings can violate the INA. The law is therefore on the applicant's side and almost never invoked.,US,2000-2026,iranian_men,0,0,,0,0,,4,A remedy that exists but nobody uses.,legal,medium,Littler - discrimination and deemed export laws,https://www.littler.com/press/external-publication/discrimination-and-deemed-export-laws-intersect,,Layer-5 target: DOJ IER settlements involving citizenship-status discrimination in export-controlled roles.
EMP-001-006,EMP-001,fact,3,Semiconductors are partially open,"BIS licence conditions for 3E001/3E002 permit most silicon technology (bipolar, Bi-MOS, Bi-CMOS, CMOS) but not compound semiconductors such as gallium arsenide or silicon-on-sapphire. The boundary is granular, so whether a given job is closed depends on the exact process node and material.",US,2000-2026,iranian_men,0,0,,0,0,,4,,official,medium,BIS deemed exports guidance,https://www.bis.doc.gov/index.php/14-policy-guidance/deemed-exports/109-guidelines-for-foreign-national-licenses,,
EMP-001-007,EMP-001,fact,4,Lifetime earnings effect,"Defence, aerospace and national-lab work are among the better-paid engineering tracks. Exclusion is not a delay but a permanent narrowing of the career surface, compounding over decades.",*,2000-2026,iranian_men,0,200000,"Illustrative cumulative differential, NOT a measured figure.",0,0,,5,,estimate,low,,,,
EMP-001-008,EMP-001,fact,5,"Security clearance is a separate, also-closed track","Clearance adjudication is distinct from export licensing. Foreign preference and foreign influence guidelines weigh family remaining in Iran, so even a naturalised citizen faces a harder adjudication because of who his parents are.",US,2000-2026,iranian_men,0,0,,0,0,,5,Penalised for having a mother.,estimate,medium,,,,"Adjudicative Guidelines B and C are public. Layer-5 target: DOHA appeal decisions involving Iranian family ties - these are published and searchable, and would be strong specific material."
EMP-001-009,EMP-001,example,4,EXAMPLE - the Appeal Board's standard,"In ISCR Case No. 05-12088 the DOHA Appeal Board REVERSED a favourable decision. The judge had credited that the applicant resisted Iranian pressure to give up her US citizenship, that her father had no regime ties, and that she was US-born. The Board held an applicant with close family in a hostile country bears a 'heavy burden', and that close cases 'should be resolved in the favor of national security, rather than in the favor of the Applicant.'",US,2000-2026,iranian_men,0,0,,0,0,,5,Winning at hearing and losing on appeal for having relatives.,legal,medium,DOHA ISCR Case No. 05-12088,https://doha.ogc.osd.mil/Industrial-Security-Program/Industrial-Security-Clearance-Decisions/DOHA-Appeal-Board/Archived-DOHA-Appeal-Board/FileId/142086/,,"Verify the case number against the full text before citing - DOHA URLs are by FileId, not case number."
EMP-001-010,EMP-001,example,4,"EXAMPLE - grandmother, aunt, uncle, cousins","ISCR Case No. 04-09473: clearance denied where the applicant's grandmother, aunt, uncle and cousins were citizens and residents of Iran, compounded by foreign passport use.",US,2000-2026,iranian_men,0,0,,0,0,,5,,legal,medium,DOHA ISCR Case No. 04-09473,https://doha.ogc.osd.mil/Industrial-Security-Program/Industrial-Security-Clearance-Decisions/ISCR-Hearing-Decisions/Archived-ISCR-Hearing-Decisions-15/FileId/149302/,,
