life_id,title,category,category_name,applies_to,applies_to_note,life_stage,stage_note,requires,requires_note,triggers,trigger_count,culture,tier,scope_note,era_start,era_end,joy_1_5,frequency_1_5,cost_money_usd_low,cost_money_usd_high,time_days_low,time_days_high,restores_energy_1_5,evidence,confidence,summary,detail_file,detail_count
FOO-001,Mango in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,NG,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. The season is short and everyone knows when it starts. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-001.csv,5
FOO-002,Guava in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,NG,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Picked off the tree in the compound, still warm. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-002.csv,5
FOO-003,Agbalumo in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,NG,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. African star apple, sour then sweet, stains your fingers. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-003.csv,5
FOO-004,Pomegranate in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,IR,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Seeded over a bowl, an hour's work for ten minutes' eating. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-004.csv,5
FOO-005,Watermelon in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,IR,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Cut on the floor on the longest night of the year. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-005.csv,5
FOO-006,Persimmon in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,IR,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Soft enough to eat with a spoon, gone in a week. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-006.csv,5
FOO-007,Fig in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,PS,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Eaten standing under the tree, warm from the sun. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-007.csv,5
FOO-008,Date in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,PS,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. From the palm at the edge of the plot, sticky and dense. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-008.csv,5
FOO-009,Prickly pear in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,PS,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Sabr - peeled carefully, because everyone has been caught once. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-009.csv,5
FOO-010,Orange in season,FOO,"Food, cooking, and eating it with people",anyone,"Available to essentially anyone, anywhere",any,Any age,none,Needs nothing but being alive and present,,0,*,primary,,2000,2026,4,4,0,3,0,0,4,estimate,low,"It is available for a few weeks and then it is not. Peeled in one piece if you are good at it. Costs almost nothing, needs no permission from anybody, and is one of the few good things in this dataset that nothing can attach to.",details/FOO-010.csv,5
