issue_id,title,category,category_name,applies_to,applies_to_note,imposed_by,imposed_by_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
ADM-001,"Proving who you are, again",ADM,"Administrative burden: forms, queues, renewals, the time tax",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,5,partial,yes,20,400,1,14,4,estimate,low,"Every institution verifies you separately, none of them trust each other's verification, and each wants a different combination of documents you must locate, copy and produce in person.",details/ADM-001.csv,6
ADM-002,The renewal treadmill,ADM,"Administrative burden: forms, queues, renewals, the time tax",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,5,partial,yes,200,2000,3,20,4,estimate,low,"Passport, licence, registration, insurance, membership, subscription, permit. Each has its own cycle and its own portal, so something is always about to lapse and the lapse is always your fault.",details/ADM-002.csv,4
ADM-003,Open when you are at work,ADM,"Administrative burden: forms, queues, renewals, the time tax",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,5,partial,no,100,2000,1,10,4,estimate,low,"Offices, clinics, banks and tradespeople operate during working hours, so accessing them costs annual leave or lost pay.",details/ADM-003.csv,4
ADM-004,"Hold music, and the person who cannot help you",ADM,"Administrative burden: forms, queues, renewals, the time tax",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,5,partial,partial,0,500,1,20,5,estimate,low,Support lines are built around cost per call. The person who answers can read the screen and rarely change what is on it.,details/ADM-004.csv,5
ERR-001,The typo that becomes official,ERR,"Errors: yours, theirs, and the ones nobody catches",everyone,Essentially unavoidable for any adult,system,"The rules, institutions and markets you were born into and must comply with",primary,,*,2000,2026,,3,4,partial,partial,50,5000,7,365,5,estimate,low,"One wrong character in a name, date, address or account number propagates into every system downstream, and correcting it is always harder than making it.",details/ERR-001.csv,7
ERR-002,"Their mistake, your problem",ERR,"Errors: yours, theirs, and the ones nobody catches",everyone,Essentially unavoidable for any adult,others,"Another person's error, negligence, crime or decision, landing on you",primary,,*,2000,2026,,4,4,partial,partial,100,20000,14,730,5,estimate,low,"Institutions presume their own records are correct. When they are not, discovering it, proving it and fixing it is entirely the work of the person harmed.",details/ERR-002.csv,5
ERR-003,Mistaken for someone else,ERR,"Errors: yours, theirs, and the ones nobody catches",everyone,Essentially unavoidable for any adult,others,"Another person's error, negligence, crime or decision, landing on you",primary,,*,2000,2026,,4,3,partial,partial,100,20000,30,730,5,estimate,low,"Matching is fuzzy. A similar name, a shared birth date or a recycled phone number attaches another person's record - debts, fines, medical history - to you, and disproving it is your job.",details/ERR-003.csv,4
ACC-001,After the crash,ACC,Accidents and physical injury,situational,"Only if you drive, rent, have children, and so on",chance,"Accident, illness, weather, timing - nobody decided it",primary,Anyone who drives or is driven. Includes crashes you caused.,*,2000,2026,,4,4,partial,partial,500,20000,30,365,5,estimate,low,"The collision takes four seconds. What follows is months of insurers, assessors, hire cars, medical appointments and an argument about liability you did not want to have.",details/ACC-001.csv,6
ACC-002,The ordinary injury,ACC,Accidents and physical injury,everyone,Essentially unavoidable for any adult,chance,"Accident, illness, weather, timing - nobody decided it",primary,,*,2000,2026,,4,4,partial,partial,200,15000,14,365,5,estimate,low,"A fall, a ladder, a kitchen, a football pitch, ice. The healing is the easy part; the hard part is doing your job and your life at reduced capacity while nobody adjusts anything.",details/ACC-002.csv,5
HLT-001,"You get ill, and nobody decided it",HLT,Illness and injury that simply arrives,everyone,Essentially unavoidable for any adult,chance,"Accident, illness, weather, timing - nobody decided it",primary,,*,2000,2026,,5,4,partial,partial,500,200000,90,3650,5,estimate,low,"Cancer, autoimmune disease, a cardiac event, a neurological condition. No behaviour reliably prevents them, no one is responsible, and the diagnosis reorganises everything around it.",details/HLT-001.csv,6
