detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
EDU-005-001,EDU-005,fact,1,Iran is not exempt,"ATAS checks international postgraduates in science and technology subjects. Nationals of certain exempt countries are excused; Iran is not among them, so Iranian STEM postgraduates are routinely required to clear it.",UK,2000-2026,iranian_men,0,0,,0,0,,3,,official,high,GOV.UK ATAS guidance,https://www.gov.uk/guidance/academic-technology-approval-scheme,,
EDU-005-002,EDU-005,fact,1,"No reasons, by design","For national security reasons the ATAS team will not explain to the applicant or the university why clearance was refused, so institutions cannot advise on or address the concern.",UK,2000-2026,iranian_men,0,0,,0,0,,5,"Refused, with nothing to fix.",official,high,Cardiff University ATAS guidance,https://www.cardiff.ac.uk/new-students/visas-and-immigration/academic-technology-approval-scheme,,
EDU-005-003,EDU-005,fact,2,The consequence is total,"If a course requires ATAS and it is refused, the student visa will not be granted and the applicant cannot enrol.",UK,2000-2026,iranian_men,0,0,,0,0,,5,,official,high,,,,
EDU-005-004,EDU-005,fact,2,The 90-day rule,After refusal the applicant must wait 90 days before reapplying for the same course or research area at the same institution under the same CAH3 code - which usually means missing the academic year.,UK,2000-2026,iranian_men,0,0,,90,365,"90-day bar, then the next intake.",5,,official,high,Nottingham / Cardiff ATAS guidance,https://www.nottingham.ac.uk/studywithus/international-applicants/visa-help/atas.aspx,,
EDU-005-005,EDU-005,example,3,Three refusals over four months,"A UK academic posted publicly about an Iranian applicant refused ATAS for the third time after more than four months of waiting, describing the security-focused system as disproportionately rejecting Iranian applicants.",UK,2023,iranian_men,0,0,,120,120,,5,,forum,low,Public LinkedIn post by a UK academic,https://www.linkedin.com/posts/drbai_educationequality-supportiranianstudents-activity-7079485785271365632-X12e,,"Advocacy commentary from a named academic, not data. Treat as testimony."
EDU-005-006,EDU-005,fact,4,No nationality-disaggregated statistics exist publicly,Universities say refusals are 'rare' but publish nothing by nationality. Figures would have to come from an FCDO Freedom of Information response or a parliamentary written answer.,UK,2000-2026,iranian_men,0,0,,0,0,,4,The disproportion cannot be proven from public data.,official,high,,,,LAYER-5 TARGET: FOI request to FCDO for ATAS refusals by nationality.
EDU-005-007,EDU-005,scenario,3,"SCENARIO - refused, reapply in 90 days, miss the year",Omid holds an offer for a materials PhD at Manchester starting September. ATAS is refused in June with no reason. He must wait 90 days to reapply for the same research area. The 90 days end in September. The studentship is annual.,UK,2000-2026,iranian_men,1500,4000,,90,365,,5,A wait engineered to be exactly longer than the thing you are waiting for.,estimate,low,,,,
EDU-005-008,EDU-005,fact,2,Why the statistics do not exist,"The FCDO will not disclose ATAS refusal reasons to applicant or university, citing the sensitivity of the clearance. Nationality-level breakdowns have historically been resisted under FOI section 24 (national security) and section 27 (international relations).",UK,2000-2026,iranian_men,0,0,,0,0,,5,"The disproportion cannot be measured, by design.",official,medium,,,,"PARTLY ANSWERS EDU-005-006: the answer is that the data is withheld, not that it does not exist. Direct routes remain WhatDoTheyKnow, the FCDO disclosure log, and parliamentary written questions."
EDU-005-009,EDU-005,fact,2,Two refusals can end the offer,"Reapplying after a refusal is usually unsuccessful, and two refusals can lead to withdrawal of the study offer altogether - so the 90-day bar is not the worst of it.",UK,2000-2026,iranian_men,0,0,,90,365,,5,Two unexplained noes and the place is gone.,official,medium,University ATAS guidance,https://www.dundee.ac.uk/guides/academic-technology-approval-scheme-atas,,
EDU-005-010,EDU-005,example,4,EXAMPLE - what applicants believe,Iranian applicants on UK student forums circulate the claim that ATAS is rejecting Iranian applications because of US sanctions. No official source confirms it. The belief itself shapes where people apply.,UK,2000-2026,iranian_men,0,0,,0,0,,4,"In the absence of reasons, people build their own.",forum,low,The Student Room - ATAS threads,https://www.thestudentroom.co.uk/showthread.php?t=7238237,,
