issue_id,title,category,category_name,applies_to,applies_to_note,war_form,war_form_note,onset,onset_note,duration,duration_note,generation,transmission,transmission_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
ACU-001,"The night, and what the body learns in it",ACU,"Acute exposure: the bombardment itself, and the night it happens in",civilians,Non-combatant civilians specifically,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,5,5,partial,partial,0,400,7,3650,5,journalism,medium,"Bombardment happens mostly at night, which means the damage is done to a nervous system that is supposed to be asleep. The body learns, within about three nights, that darkness is when it must be awake.",details/ACU-001.csv,7
ACU-002,"Sirens, alerts, and the phone that decides your pulse",ACU,"Acute exposure: the bombardment itself, and the night it happens in",civilians,Non-combatant civilians specifically,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,5,partial,partial,0,0,7,1825,5,journalism,medium,Warning systems save lives and condition the population at the same time. The alert tone becomes a stimulus that produces a physical reaction independent of whether anything follows it.,details/ACU-002.csv,5
ACU-003,The interruption of everything at once,ACU,"Acute exposure: the bombardment itself, and the night it happens in",anyone_in_war,Anyone physically present in a war zone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,5,yes,partial,500,20000,30,730,5,journalism,medium,"War does not damage one thing. School, work, transport, banking, medicine, post and the electricity that runs them all stop in the same week, so there is no functioning system left to fall back on.",details/ACU-003.csv,5
ACU-004,Decision-making under a threat that will not resolve,ACU,"Acute exposure: the bombardment itself, and the night it happens in",civilians,Non-combatant civilians specifically,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,4,partial,no,0,0,0,0,5,estimate,low,"Stay or go, now or tomorrow, this road or that one. The information needed to decide does not exist, the consequences are irreversible, and the decisions arrive faster than anyone can process them.",details/ACU-004.csv,4
DIS-001,Leaving with what you can carry,DIS,"Displacement: leaving, and the shelter you leave for",civilians,Non-combatant civilians specifically,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,4,yes,no,300,15000,30,3650,5,journalism,medium,"Displacement is usually described as a movement. Psychologically it is a forced triage of an entire life into one bag, performed in under an hour, with no possibility of revision.",details/DIS-001.csv,6
DIS-002,The internal displacement nobody counts,DIS,"Displacement: leaving, and the shelter you leave for",civilians,Non-combatant civilians specifically,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,4,4,partial,partial,200,8000,30,1095,5,estimate,low,"Most people displaced by war never cross a border. They move to a cousin's flat in another city, which involves no agency, no registration and no support, and puts two families under strain instead of one.",details/DIS-002.csv,4
DIS-003,Being unable to flee at all,DIS,"Displacement: leaving, and the shelter you leave for",civilians,Non-combatant civilians specifically,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,chronic,"Recurs or persists for years, manageable but not gone",g0,direct,The person was there,primary,,*,1980,2026,,5,4,yes,no,0,0,0,0,5,estimate,low,"The people who leave are the ones with money, documents, a car and somewhere to go. Everybody else stays, and knows precisely why they stayed.",details/DIS-003.csv,4
BER-001,Death without a funeral,BER,"Bereavement, the missing, and the body you never get back",bereaved,Those who lost someone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,4,partial,no,200,5000,30,7300,5,estimate,low,"Grief in peacetime has a procedure: a body, a burial, a gathering, a period. War removes all four, and the mind does not process a loss it was never given the ritual for.",details/BER-001.csv,6
BER-002,Losing several people at once,BER,"Bereavement, the missing, and the body you never get back",bereaved,Those who lost someone,kinetic,"Bombs, missiles, artillery, invasion, ground fighting",immediate,Shows up during the event or within days,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,3,partial,no,0,0,0,0,5,estimate,low,"Bereavement services and the mind itself are built for one loss at a time. War delivers them in batches, and the second loss interrupts the processing of the first, and so on.",details/BER-002.csv,4
BER-003,Grieving from four thousand kilometres away,BER,"Bereavement, the missing, and the body you never get back",diaspora,Those outside the country with people inside it,mobility,"Passports, visas, closed airspace, bans on movement",immediate,Shows up during the event or within days,permanent,Does not resolve; the person adapts around it,g0,direct,The person was there,primary,,*,1980,2026,,5,4,yes,no,500,8000,3,365,5,journalism,medium,"Being abroad when someone dies at home removes every mechanism grief uses: the body, the house, the people, the food, the physical presence of others who also loved them.",details/BER-003.csv,4
