issue_id,title,category,category_name,applies_to,applies_to_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
VIS-001,214(b): presumed to be leaving forever,VIS,"Visas, consulate queues and the money spent on being told no",mexicans,"Triggered by Mexican nationality, passport or origin, anywhere",primary,,US,2000,2026,,5,5,yes,partial,185,3000,30,1095,5,official,high,"US law presumes every visitor-visa applicant intends to immigrate. The applicant must disprove a presumption about his own mind. For Mexicans this single subsection is the overwhelming majority of refusals, and there is no appeal from it.",details/VIS-001.csv,8
VIS-002,The appointment that is eighteen months away,VIS,"Visas, consulate queues and the money spent on being told no",mexicans,"Triggered by Mexican nationality, passport or origin, anywhere",primary,,US,2020,2026,,4,5,partial,partial,100,2000,180,1095,4,official,medium,"Even a successful application is rationed by calendar. Post-pandemic backlogs at Mexican consulates reached multi-year waits, which converts a visa into a thing you plan your life around rather than apply for.",details/VIS-002.csv,4
VIS-003,The ten-year bar you trigger by applying honestly,VIS,"Visas, consulate queues and the money spent on being told no",mexicans,"Triggered by Mexican nationality, passport or origin, anywhere",primary,,US,2000,2026,,5,4,yes,partial,1000,15000,365,3650,5,legal,high,Unlawful presence in the US creates a three- or ten-year bar on return. The bar is triggered by departing - so the man who leaves voluntarily to do it properly is the one who gets barred.,details/VIS-003.csv,4
VIS-004,"The border crossing card, and the line it draws",VIS,"Visas, consulate queues and the money spent on being told no",mexicans,"Triggered by Mexican nationality, passport or origin, anywhere",primary,,US,2000,2026,,3,5,partial,partial,185,600,30,400,3,estimate,low,"The BCC/laser visa permits short visits within a limited zone. It is the most common US visa held by Mexicans and it is explicitly not permission to work, live, or go far inland.",details/VIS-004.csv,4
DOC-001,"CURP, acta, and proving you were born",DOC,"Passport, CURP, acta de nacimiento: proving who you are",in_mexico,"Faced by anyone living in Mexico, any gender",primary,,MX,2000,2026,,3,5,partial,partial,20,800,7,730,4,estimate,low,"Mexican administrative life runs on the CURP and a certified birth certificate. A man whose birth was registered late, in another state, or with an inconsistent name spends years reconciling himself.",details/DOC-001.csv,4
DOC-002,"A passport that is fine, and a nationality that is the problem",DOC,"Passport, CURP, acta de nacimiento: proving who you are",mexicans,"Triggered by Mexican nationality, passport or origin, anywhere",primary,,*,2000,2026,,3,5,partial,partial,60,300,1,90,4,estimate,low,The Mexican passport is functional and reasonably ranked. The hurdle is not the booklet - it is that the nationality on it changes the question being asked at every counter.,details/DOC-002.csv,4
DOC-003,The papers you no longer have,DOC,"Passport, CURP, acta de nacimiento: proving who you are",mexican_men,Requires both Mexican nationality and being male,primary,,"MX,US",2000,2026,,5,4,yes,partial,50,1500,14,365,5,ngo,high,"Deportation, detention and robbery strip people of the documents their subsequent life requires, at the exact moment they have least capacity to replace them.",details/DOC-003.csv,3
AIR-001,The second room,AIR,"Airports abroad, screening and the second room",mexicans,"Triggered by Mexican nationality, passport or origin, anywhere",primary,,US,2000,2026,,4,4,partial,partial,0,3000,1,3,5,official,high,"Secondary inspection: referral out of the primary queue into a room with no clock, no phone and no lawyer. The brief asked specifically about unusually high rates of 'random checks' - this issue records what is actually documented and what is not.",details/AIR-001.csv,8
AIR-002,"Your phone, at the border, without a warrant",AIR,"Airports abroad, screening and the second room",mexicans,"Triggered by Mexican nationality, passport or origin, anywhere",primary,,US,2000,2026,,4,3,partial,no,0,5000,1,30,5,legal,high,"The border search exception removes the warrant requirement. Messages, photographs, contacts and drafts are readable, and refusing costs more for a visa holder than for a citizen.",details/AIR-002.csv,4
AIR-003,Being the passenger the airline worries about,AIR,"Airports abroad, screening and the second room",mexicans,"Triggered by Mexican nationality, passport or origin, anywhere",primary,,*,2000,2026,,3,4,partial,partial,100,3000,1,14,5,estimate,low,"Carrier sanctions push the first check upstream: the airline decides at the gate whether it believes a passenger will be admitted, because the airline pays if he is not.",details/AIR-003.csv,3
