issue_id,title,category,category_name,applies_to,applies_to_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
VIS-001,Paying to be told no,VIS,"Visas, refusals and the money spent on being told no",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,5,5,yes,partial,100,3000,14,365,5,official,high,"A visa fee buys consideration, not a visa, and it is not returned when the answer is no. Nigerians are refused at rates several times the global average, and the refused fees are a measurable national transfer to the refusing states.",details/VIS-001.csv,10
VIS-002,"Being cut to three months, single entry",VIS,"Visas, refusals and the money spent on being told no",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,US,2025,2026,,5,4,yes,no,200,5000,30,365,5,official,high,"In July 2025 the United States reduced most non-immigrant visas for Nigerians to a single entry valid three months, replacing the five-year multiple-entry visas many held - and then suspended issuance entirely.",details/VIS-002.csv,6
VIS-003,Meeting every requirement and being refused anyway,VIS,"Visas, refusals and the money spent on being told no",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,4,5,yes,partial,150,3000,14,365,5,estimate,low,"The stated grounds are usually that the officer is not satisfied the applicant will leave. That is a prediction about the future, it cannot be disproved with documents, and it is not appealable in most categories.",details/VIS-003.csv,5
VIS-004,The agent who filled in your form,VIS,"Visas, refusals and the money spent on being told no",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,4,4,partial,no,200,5000,14,180,5,journalism,medium,"Where the process is opaque and the stakes are high, an industry of agents appears. Some are useful, many are extractive, and a few enter information the applicant has never seen - which the applicant is then held responsible for.",details/VIS-004.csv,4
DOC-001,A passport that ranks 90th and shrinks,DOC,"The passport, the booklet racket and proving who you are",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2006,2026,,4,5,partial,no,200,5000,14,365,4,official,high,"The Nigerian passport reaches 44 destinations without a prior visa. The number has been falling, and the long-run trend is downward against peers.",details/DOC-001.csv,5
DOC-002,The booklet that is not there,DOC,"The passport, the booklet racket and proving who you are",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,NG,2000,2026,,4,5,yes,partial,60,600,30,540,5,journalism,high,"Getting the passport at all is a hurdle before it is used. Booklets run short, the portal shows 'processing' for months, and the people who pay privately are served first.",details/DOC-002.csv,6
DOC-003,"Proving you are who you say, repeatedly",DOC,"The passport, the booklet racket and proving who you are",in_nigeria,"Faced by anyone living in Nigeria, any gender",primary,,NG,2000,2026,,3,5,partial,partial,20,400,7,180,5,estimate,low,"Identity in Nigeria is assembled from several partial systems - NIN, BVN, voter card, driver's licence, certificate of origin - none of which is sufficient alone, and each of which requires the others.",details/DOC-003.csv,5
DOC-004,Documents that are assumed to be forged,DOC,"The passport, the booklet racket and proving who you are",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,*,2000,2026,,4,4,partial,partial,100,2000,30,365,5,estimate,low,"Nigerian civil and academic documents attract verification demands that documents from other countries do not, at the applicant's cost and on the applicant's time.",details/DOC-004.csv,4
AIR-001,The second room,AIR,"Airports abroad, screening and the second room",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,US,2001,2026,,4,5,partial,partial,100,3000,1,30,5,official,medium,"The brief asks about unusually high rates of random checks. The honest position: the mechanics are documented, the referral criteria are published in outline, and no government publishes a per-nationality secondary-inspection rate - so the disparity is attested by consistent reporting rather than by a statistic.",details/AIR-001.csv,8
AIR-002,"Deportation, and the third country",AIR,"Airports abroad, screening and the second room",nigerians,"Triggered by Nigerian nationality, passport or origin, anywhere",primary,,US,2015,2026,,5,3,yes,no,500,20000,1,730,5,journalism,medium,Removal is not only to Nigeria. Third-country arrangements mean a Nigerian removed from one state may be delivered to another entirely.,details/AIR-002.csv,4
