detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
MIL-001-001,MIL-001,fact,1,The obligation,The Iranian constitution requires all men aged 18 to 49 to complete military service of 18 months to two years. Men who have not served generally cannot obtain a passport to leave the country.,IR,2000-2026,iranian_men,0,0,,540,730,Service length itself - 18 to 24 months of working life.,5,"Not a choice, and not deferrable indefinitely.",official,high,GlobalSecurity - Iran conscription,https://www.globalsecurity.org/military/world/iran/conscription.htm,,
MIL-001-002,MIL-001,fact,1,Education shortens it but does not remove it,"Service is reduced by roughly 10 months for PhD holders, 8 for master's and 6 for bachelor's degrees.",IR,2000-2026,iranian_men,0,0,,0,0,,3,,official,medium,GlobalSecurity - Iran conscription,https://www.globalsecurity.org/military/world/iran/conscription.htm,,
MIL-001-003,MIL-001,fact,2,"The obligation follows the passport, not the address","Military liability attaches to Iranian citizenship, not residence. A man who has lived abroad for decades is still technically a conscript if he never served or obtained exemption - which makes any visit home a legal risk.",IR,2000-2026,iranian_men,0,0,,0,0,,5,No statute of limitations on the obligation; the risk never expires.,official,high,LegalClarity - Iran mandatory military service,https://legalclarity.org/iran-mandatory-military-service-rules-exemptions-and-penalties/,,
MIL-001-004,MIL-001,fact,2,The 'exit facility' stamp,Conscription-liable men who have lived continuously abroad for at least three years can apply for an exit-facility stamp allowing two visits per Iranian year totalling 90 days. Overstaying the 90 days triggers a travel ban - the man cannot leave again.,IR,2000-2026,iranian_men,0,0,,30,120,Consular processing for the stamp.,5,"A visit home is a metered, revocable privilege.",official,high,Iranian Consulate Mumbai - exit facility for conscripts,https://mumbai.mfa.gov.ir/en/GeneralCategoryServices/16174,,
MIL-001-005,MIL-001,fact,3,"Buying out - available, then not, then unclear","A buy-out scheme ran until around 2019 and was dropped for benefiting only the wealthy. In January 2022 a parliamentary budget committee floated exemptions at 250-600 million tomans (roughly USD 9,000-21,500), limited to absentees over 35 or those eight years past their due date, priced higher for the more educated. It was cancelled one day after being reported.",IR,2019-2022,iranian_men,9000,21500,2022 proposal only - withdrawn. Current rates differ.,0,0,,5,Policy that changes within 24 hours cannot be planned around.,journalism,medium,Iran International,https://www.iranintl.com/en/202201310929,2022-01-31,DO NOT cite the dollar band as a current price. It is a withdrawn proposal. Rates are set annually and move with the rial.
MIL-001-006,MIL-001,fact,3,The absentee fine route,"Men abroad for more than eight years can pay a fine and receive an exemption card, handled through an Iranian embassy or consulate without returning. The amount is set annually and tracks the rial, so it cannot be quoted in advance.",IR,2000-2026,iranian_men,1000,20000,Highly variable; confirm with a consulate.,60,365,,4,,journalism,low,Living in Tehran,https://livingintehran.com/2023/06/25/buying-iran-military-service/,,
MIL-001-007,MIL-001,fact,4,The eight-year trap,"The cheapest legal exit - the absentee route - requires staying away eight years. A man who leaves at 20 cannot safely return until 28. That period covers most weddings, illnesses and deaths in a family.",IR,2000-2026,iranian_men,0,0,,2920,2920,Eight years of enforced absence.,5,Chosen exile as the rational option.,estimate,medium,,,,
MIL-001-008,MIL-001,fact,4,Conscription as a foreign-screening trigger,Completed Iranian military service appears on the record and is reported as a category that triggers security referral in Canada. Serving creates the screening problem; not serving creates the passport problem. There is no option that avoids both.,"CA,US,EU",2000-2026,iranian_men,0,0,,0,0,,5,A double bind with no compliant path.,journalism,medium,IRCC data analysis,https://avalvisa.com/en/blog/iran-security-screening-canada-data/,,The referral-by-category reporting names military service. This double bind is the core structural finding for Iranian men. Layer-5 target: find the IRCC indicator documentation naming service.
MIL-001-009,MIL-001,fact,5,IRGC service and inadmissibility,Canada listed the IRGC as a terrorist entity in June 2024. Conscripts assigned to IRGC-affiliated units - an assignment they did not choose - face arguments of inadmissibility for membership in a listed entity.,CA,2024-2026,iranian_men,0,0,,0,0,,5,Retroactive consequence for a posting assigned by lottery.,official,medium,,,,Listing date is well documented; the inadmissibility consequence for conscripts is argued case by case. HIGH-VALUE layer-5 research target - find IRB decisions on conscript IRGC service.
MIL-001-010,MIL-001,example,5,EXAMPLE - the 24-hour policy,The January 2022 buy-out scheme was reported on 30 January and cancelled on 31 January after public criticism that it sold exemptions to the rich. Families who began raising the money had one day.,IR,2022,iranian_men,0,0,,0,0,,5,A plan with a one-day lifespan.,journalism,high,Iran International,https://www.iranintl.com/en/202201310929,2022-01-31,
MIL-001-011,MIL-001,scenario,4,SCENARIO - the arithmetic of going home,"Omid left at 24 without serving. The absentee route requires eight years abroad; he can return in 2032, aged 32. His father will be 66. His mother has had two cardiac stents. He does the arithmetic once, writes it down, and never does it again.",IR,2000-2026,iranian_men,0,0,,2920,2920,,5,A number of years you can only bear to count once.,estimate,low,,,,
MIL-001-012,MIL-001,scenario,5,SCENARIO - the card that arrives too late,Omid pays the absentee fine through the consulate in March. The exemption card is issued in Tehran in November and posted to his uncle. By the time it reaches him his father has died and been buried for five weeks.,IR,2000-2026,iranian_men,0,0,,240,240,,5,,estimate,low,,,,
MIL-001-013,MIL-001,fact,5,"The document chain, now sourced","See MIL-004. The IRB's Response to Information Request IRN201365.E and IRN104809.E establish that the service completion or exemption card is required for a passport, that refusal blocks a driver's licence and government employment, and that the exemption card states the reason for the exemption.",IR,2000-2026,iranian_men,0,0,,0,0,,4,,official,high,IRB RIR IRN201365.E / IRN104809.E,https://www.ecoi.net/en/document/2090349.html,,ANSWERS MIL-001-008.
