detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
BOR-005-001,BOR-005,fact,1,The pattern,"Since 2021 growing numbers of Iranians have been denied entry at Georgian land and air borders, particularly Tbilisi International, despite valid passports, return tickets, hotel bookings and sufficient funds.",GE,2021-2026,iranian_men,0,0,,0,0,,5,,journalism,high,OC Media,https://oc-media.org/iranian-residents-of-georgia-barred-from-entering-country-with-no-explanation/,,
BOR-005-002,BOR-005,example,1,EXAMPLE - the reason given is a placeholder,"In many documented cases the only explanation offered is the phrase 'other cases envisaged by Georgian legislation', with no meaningful opportunity to appeal.",GE,2000-2026,iranian_men,0,0,,0,0,,5,"A refusal that cites the existence of law, not any law in particular.",journalism,high,Change.org campaign documenting border refusals,https://www.change.org/p/systemic-discrimination-against-iranian-nationals-at-georgian-borders/u/34488211,,
BOR-005-003,BOR-005,example,1,EXAMPLE - the numbers from 2018,"In 2018 Iranians were the largest single group holding temporary Georgian residency - about 7,300 people, 23% of the total - and in the same year made up the largest share, 20%, of the 16,023 foreigners denied entry.",GE,2018,iranian_men,0,0,,0,0,,5,"The largest resident group and the largest refused group, simultaneously.",journalism,high,Eurasianet,https://eurasianet.org/iranians-report-arbitrary-ban-at-georgian-border,,
BOR-005-004,BOR-005,example,2,EXAMPLE - refused before boarding,"A 26-year-old who had studied in Georgia for eight years was not allowed to board his return flight and was given no explanation - despite a valid residence permit, a negative PCR test and full vaccination.",GE,2000-2026,iranian_men,0,0,,0,0,,5,Barred from returning to the country you live in.,journalism,high,OC Media,https://oc-media.org/iranian-residents-of-georgia-barred-from-entering-country-with-no-explanation/,,
BOR-005-005,BOR-005,example,2,EXAMPLE - taken off the aircraft,An Iranian student and fellow students were already seated on a Tbilisi-bound plane when a flight attendant asked them to disembark. One described being pushed out 'like some kind of terrorists'.,GE,2000-2026,iranian_men,0,0,,0,0,,5,Removed from your seat in front of everyone.,journalism,high,Eurasianet,https://eurasianet.org/iranians-report-arbitrary-ban-at-georgian-border,,
BOR-005-006,BOR-005,example,3,EXAMPLE - the holding room,Travellers refused entry describe crowded detention rooms with phones and passports confiscated; one account describes an Iranian held there two days without food or communication.,GE,2000-2026,iranian_men,0,0,,1,2,,5,Detained on arrival in the country that needed no visa.,journalism,medium,Eurasianet,https://eurasianet.org/iranians-report-arbitrary-ban-at-georgian-border,,
BOR-005-007,BOR-005,example,3,"EXAMPLE - 200 at once, with documents in order",In December 2018 Iran's Foreign Ministry spokesman Bahram Qassemi said Georgia had denied entry to up to 200 Iranian citizens whose documents were in order.,GE,2018,iranian_men,0,0,,0,0,,5,,journalism,medium,Eurasianet,https://eurasianet.org/iranians-report-arbitrary-ban-at-georgian-border,,
BOR-005-008,BOR-005,fact,4,How it became a refuge in the first place,"Georgia simplified travel rules for Iranians in 2010 and Iranian tourism and investment surged, some arriving for political reasons to escape the Iranian government. The tightening is linked to Iran's deteriorating relations with Georgia's Western partners and Georgia's own immigration crackdown.",GE,2010-2026,iranian_men,0,0,,0,0,,4,"The door that opened, then closed on the people who walked through it.",journalism,medium,Eurasianet,https://eurasianet.org/iranians-report-arbitrary-ban-at-georgian-border,,
BOR-005-009,BOR-005,example,5,EXAMPLE - and now deportation from inside,"In July 2026 Iranians protested outside Georgia's parliament over Iman Asghari, 37, detained by migration authorities in May and allegedly refused passport renewal by the Iranian embassy - facing deportation to a country his family fears will persecute him.",GE,2026,iranian_men,0,0,,0,0,,5,"Undocumented by one state, deportable by the other.",journalism,medium,OC Media,https://oc-media.org/he-lives-in-constant-fear-iranian-dissidents-in-georgia-face-an-uncertain-future/,,
BOR-005-010,BOR-005,scenario,3,SCENARIO - the flat in Tbilisi he cannot reach,"Reza rents a flat in Tbilisi and registers a small software company there, because Georgia needs no visa. In 2023 he flies back from a client meeting in Yerevan and is refused entry at Tbilisi airport under 'other cases envisaged by Georgian legislation'. His laptop, company documents and cat are in the flat.",GE,2000-2026,iranian_men,2000,8000,,0,0,,5,Locked out of a life you may not re-enter to pack up.,estimate,low,,,,
