detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
SEC-002-001,SEC-002,fact,1,Scale,"IRCC data released under the Access to Information Act shows 47,635 applications from Iranian nationals referred to security screening between January 2019 and 31 July 2025.",CA,2019-2025,iranian_men,0,0,,0,0,,4,,official,high,"IRCC ATIP data, via GoFar Global analysis",https://www.gofarglobal.com/news/iran-canada-security-screening-data-2026,2026,Underlying figure is IRCC ATIP; the analysis is third-party. Request the ATIP package directly if this is going into a filing.
SEC-002-002,SEC-002,fact,1,Almost nobody is actually found inadmissible,"In 2023, 6,585 Iranian temporary-residence applicants were referred and 10 came back non-favourable - about 0.15%. Referral is triggered by category, such as military service or a sensitive field of study, not by individual suspicion.",CA,2023,iranian_men,0,0,,0,0,,5,Years lost to a process that clears 99.85% of those it delays.,official,medium,IRCC data analysis,https://avalvisa.com/en/blog/iran-security-screening-canada-data/,,"Ratio is the most useful single fact here: the process is not filtering, it is queuing."
SEC-002-003,SEC-002,fact,1,System-wide load,"CSIS received 538,100 immigration and citizenship screening requests in 2024, up from 493,000 in 2023 and about 300,000 annually in the preceding five years. In 2024, 87.5% of CSIS security clearance assessments were for citizenship applicants or asylum claimants.",CA,2023-2024,iranian_men,0,0,,0,0,,3,,official,medium,CSIS figures via Moving2Canada,https://moving2canada.com/news-and-features/news/immigration/csis-security-screenings-delays-citizenship-asylum-applicants/,,
SEC-002-004,SEC-002,fact,2,What it looks like from inside,The file shows 'In Progress' under Background Verification for months or years with no update. Referral is usually only visible by ordering GCMS notes; it is never announced.,CA,2000-2026,iranian_men,25,100,GCMS notes request fee and/or consultant fee.,30,60,GCMS turnaround.,5,,legal,medium,Liberty Immigration,https://libertyimmigration.ca/ircc-security-check-delay-why-your-pr-application-is-stuck-at-in-progress-2025-backlog-crisis/,,
SEC-002-005,SEC-002,fact,2,Withdrawing makes it worse,"Withdrawing and re-applying resets processing time and almost certainly triggers the same check, so the one obvious self-help move is a trap.",CA,2000-2026,iranian_men,0,0,,0,0,,4,,legal,medium,Liberty Immigration,https://libertyimmigration.ca/ircc-security-check-delay-why-your-pr-application-is-stuck-at-in-progress-2025-backlog-crisis/,,
SEC-002-006,SEC-002,fact,3,Mandamus as the only remedy,"Where the wait exceeds what is reasonable, a Federal Court mandamus application can compel a decision. It is the standard advice, which tells you how routine the problem is.",CA,2000-2026,iranian_men,3000,12000,Canadian Federal Court mandamus fees.,120,365,,4,,legal,medium,,,,
SEC-002-007,SEC-002,fact,3,Parliamentary acknowledgement,"Petitions before the House of Commons assert that in 2024 Iranian applicants were referred at a rate far exceeding applicants from other countries, with delays far beyond published standards and no transparency about the criteria for 'comprehensive' screening. One petition specifically concerns Iranians holding Canadian Master's and PhD degrees nominated under the PNP.",CA,2024-2025,iranian_men,0,0,,0,0,,4,,official,high,House of Commons petition e-7175,https://www.ourcommons.ca/petitions/en/Petition/Details?Petition=e-7175,,"A petition is an assertion by petitioners, not a government finding. Cite it as what it is."
SEC-002-008,SEC-002,fact,4,Degrees do not help; they may hurt,"The PNP petition describes people with Canadian graduate degrees being held. Advanced study in a technical field is itself a referral trigger, so the usual advice - get more qualified - makes the delay more likely.",CA,2000-2026,iranian_men,0,0,,0,0,,5,,estimate,medium,,,,Inference from the referral-by-category finding plus the petition's population. Layer-5 target: get the ATIP breakdown by field of study.
SEC-002-009,SEC-002,example,2,EXAMPLE - ten years in background check,"Vice reported Iranian students whose applications stalled up to ten years against a published six-month estimate, missing job opportunities, conferences and family weddings while their lives were held open.",CA,2000-2026,iranian_men,0,0,,180,3650,Six-month estimate against a ten-year reality.,5,,journalism,medium,Vice,https://www.vice.com/en/article/hundreds-of-iranians-say-lengthy-security-checks-have-stalled-their-immigration-applications-to-canada/,,
SEC-002-010,SEC-002,example,2,EXAMPLE - a Canada Research Chair waiting,The Toronto Star reported a Canada Research Chair at the University of Ottawa who waited a year for security clearance and could not apply for PR without it.,CA,2018,iranian_men,0,0,,365,365,,5,,journalism,medium,Toronto Star,https://www.pressreader.com/canada/toronto-star/20180504/281595241157355,,Seniority is no protection - arguably the opposite.
SEC-002-011,SEC-002,example,3,"EXAMPLE - eleven US visas, still singled out",One applicant described feeling 'singled out' despite having been granted eleven US visas and passing three prior Canadian background checks.,CA,2000-2026,iranian_men,0,0,,0,0,,5,A clean record across fourteen prior checks counts for nothing.,journalism,medium,Toronto Star,https://www.pressreader.com/canada/toronto-star/20180504/281595241157355,,
SEC-002-012,SEC-002,example,3,EXAMPLE - fifty-five couples organised online,CBC reported a group of 55 couples who found each other through social media over similar stuck applications - years-long PR waits combined with refused visitor visas keeping partners in different countries.,CA,2000-2026,iranian_men,0,0,,0,0,,5,Separation enforced from both directions at once.,journalism,medium,CBC,https://www.cbc.ca/1.6735927,,
SEC-002-013,SEC-002,example,2,EXAMPLE - one in six referrals,Roughly one in six security screening referrals in Canada involves an Iranian applicant - a share far above Iran's share of applications.,CA,2000-2026,iranian_men,0,0,,0,0,,4,,journalism,medium,Analysis of IRCC data,https://www.gofarglobal.com/news/iran-canada-security-screening-data-2026,,"This is the defensible version of the 'most Iranian applications go to intelligence' claim. Use this, not a 95% figure."
SEC-002-014,SEC-002,example,4,EXAMPLE - the forum estimate,"On the CanadaVisa 'PR applicants from Iran' thread, posters report anything from six months to several years; one long-running estimate is one to three years for most Iranians. A common folk explanation - that Iran does not share applicant information with Canada - was contested in-thread as unsourced.",CA,2000-2026,iranian_men,0,0,,180,1095,,4,,forum,low,CanadaVisa forum - PR applicants from Iran,https://www.canadavisa.com/canada-immigration-discussion-board/threads/pr-applicants-from-iran.605489/page-18,,"Forum consensus, not data. Included because it shows what applicants believe, which drives their decisions."
SEC-002-015,SEC-002,example,4,EXAMPLE - the call centre cannot help,In a background-check thread a user stuck since January 2024 asked whether phoning helps. The practical answer: agents can read the status but cannot expedite or move anything.,CA,2024,iranian_men,0,0,,0,0,,5,A helpline that confirms you are stuck.,forum,low,CanadaVisa forum,https://www.canadavisa.com/canada-immigration-discussion-board/threads/background-check-estimated-time.841108/,,
SEC-002-016,SEC-002,scenario,3,SCENARIO - the GCMS notes that explain nothing,"Twenty-two months into a PR application showing 'In Progress', Nasrin pays CAD 40 for her brother's GCMS notes. The security screening section is four lines, three of them redacted. The visible line reads: referred for further assessment. That is the entire content of two years.",CA,2000-2026,iranian_men,30,30,,45,45,,5,Paying to read a redaction.,estimate,low,,,,
SEC-002-017,SEC-002,scenario,4,SCENARIO - the promotion he could not accept,"Omid is offered a team lead role in Vancouver conditional on PR. He is 26 months into background verification. He asks for a six-month extension, then another. The company promotes someone else and he stays on the work permit, doing the same job he did three years ago.",CA,2000-2026,iranian_men,25000,60000,Foregone salary differential over three years.,0,0,,5,,estimate,low,,,,
