detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
VIS-001-001,VIS-001,fact,1,The Schengen numbers,"111,201 Nigerians applied for Schengen visas in 2024 and 50,376 short-stay applications were refused - a 45.9% refusal rate, up from 40.5% in 2023 and the highest on record for Nigeria. At a non-refundable EUR 90 fee, that is over EUR 4.5 million, about NGN 7.1 billion, paid for refusals.",EU,2024,nigerians,100,100,"EUR 90 per application, non-refundable.",0,0,,5,"Fifty thousand refusals, all paid for in advance.",official,high,European Commission short-stay visa statistics,https://techcabal.com/2025/05/26/schengen-visa-how-nigerians-lost-nearly-%E2%82%A68-billion-trying-to-visit-europe/,2024,
VIS-001-002,VIS-001,fact,1,"The UK, over twenty-one years","The UK refused 1,344,595 Nigerian applications between 2005 and Q1 2026 - second only to India globally, and 15.2% of the 8.83 million refusals worldwide. Nigeria's cumulative refusal rate is 33.1%, more than double the UK's global average of 14.8%.",GB,2005-2026,nigerians,0,0,,0,0,,5,"One and a third million refusals, from one country.",official,high,UK Home Office entry clearance data,,,
VIS-001-003,VIS-001,fact,2,Where the UK refusals land,"Visitor visas account for 1,127,088 of them - 83.8% of the total, at a 37.1% refusal rate. Study 130,712, work 41,410, family 12,217. The category most refused is the one used to attend a wedding, a graduation or a funeral.",GB,2000-2026,nigerians,0,0,,0,0,,5,The visa you need to see your family is the one most refused.,official,high,,,,
VIS-001-004,VIS-001,fact,2,"The US rate, and the direction of travel","The US B1/B2 adjusted refusal rate for Nigeria was 57.00% in FY2025, up from 46.51% in FY2024 - against India at 22.04%. Ten points of deterioration in a single year.",US,2024-2025,nigerians,0,0,,0,0,,5,"A coin flip, weighted against you, and getting worse.",official,high,,,,
VIS-001-005,VIS-001,fact,3,The fees rise while the refusals do,"UK visa fees went from GBP 100 to GBP 115 in July 2024 and GBP 127 in April 2025; the Schengen fee rose from EUR 80 to EUR 90 in June 2024. The cost of rejected UK visas rose 13.5% to GBP 50.7 million in 2024, with Nigerians paying an extra GBP 2 million.","GB,EU",2024-2025,nigerians,130,170,,0,0,,5,"Charged more, each year, for the same refusal.",official,high,,,,
VIS-001-006,VIS-001,fact,3,The true cost is a multiple of the fee,"Biometrics appointments in another city, courier fees, bank statements, sponsor letters, notarised documents, travel insurance bought in advance, and flights held or booked. A refusal discards all of it.",*,2000-2026,nigerians,300,2000,"Per attempt, everything beyond the fee itself.",14,90,,5,The fee is the cheapest part of being refused.,estimate,low,,,,
VIS-001-007,VIS-001,fact,4,A refusal is a mark on the next application,"Previous refusals must be declared and are weighed. The first no makes the second no more likely, which makes the third more likely still - a ratchet that no individual decision-maker has to intend.",*,2000-2026,nigerians,0,0,,0,0,,5,"Refused once, and the file now says so forever.",estimate,low,,,,
VIS-001-008,VIS-001,fact,5,"So people stop applying, and that is invisible","The conference not attended, the job not interviewed for, the course not applied to. Nobody records a person who did not apply, so the true exclusion is larger than the refusal rate and will never appear in any dataset including this one.",*,2000-2026,nigerians,0,0,,0,0,,5,The applications never made are the real number.,estimate,low,,,,
VIS-001-009,VIS-001,scenario,2,"SCENARIO - one wedding, four refusals","Her brother marries in Houston. Their mother, two sisters and an uncle apply together with the invitation, the hotel booking and the same sponsor letter. Three are refused. The family pays four fees and sends one person, who films it on a phone for the others.",US,2000-2026,nigerian_women,185,740,"Four non-refundable fees, one traveller.",0,0,,5,"Four applications, one seat, and a video call.",estimate,low,,,,
VIS-001-010,VIS-001,scenario,5,The refusals that were never applications,"The deepest layer of this issue is not the 45.9% refused. It is the people who read the rate, priced the fee against the odds, and did not apply - the scholarship not pursued, the conference declined, the sister's graduation watched online. That population is larger than the refused one and appears in no statistic anywhere.",*,2000-2026,nigerians,0,0,,0,0,,5,The largest category is the one nobody counts.,estimate,low,,,,
