detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
FIN-001-001,FIN-001,fact,1,Germany - students cut off,"Deutsche Bank, Commerzbank and others suspended Iranian students' accounts and refused new applications, notifying customers of closure with no reason given. A Berlin Iranian refugee organisation reported complaints affecting hundreds.",DE,2013,iranian_men,0,0,,0,0,,5,Closure letter with no reason and no appeal.,journalism,high,The Local (Germany),https://www.thelocal.de/20130219/48061,2013-02-19,
FIN-001-002,FIN-001,fact,1,The German government said it was unlawful,"Foreign Office official Emily Haber wrote to the institutions stating that blocking Iranian citizens' accounts had no legal basis, and called for a fresh audit of account management and new openings.",DE,2013,iranian_men,0,0,,0,0,,2,,journalism,high,The Local (Germany),https://www.thelocal.de/20130219/48061,,Useful: the state itself characterised the practice as baseless. Strong material for a discrimination argument.
FIN-001-003,FIN-001,fact,2,It recurred,"Commerzbank, Sparkasse and Comdirect were later reported refusing accounts to Iranian students, who described an 'unwritten rule' pushing them to close.",DE,2018-2020,iranian_men,0,0,,0,0,,4,,journalism,medium,Mehr News,https://en.mehrnews.com/news/139932/German-banks-block-refuse-to-open-new-accounts-for-Iranian-students,,
FIN-001-004,FIN-001,fact,1,North America - scale,"Advocacy reporting indicates as many as 15,000 accounts connected to people of Iranian heritage were restricted in an apparent sanctions-compliance effort, often without valid cause, despite US guidance that those not ordinarily resident in Iran need not be restricted.","US,CA",2000-2026,iranian_men,0,0,,0,0,,5,,ngo,medium,NIAC AML/CFT comment to FinCEN,https://downloads.regulations.gov/FINCEN-2024-0013-0005/attachment_1.pdf,2024,"NIAC is an advocacy organisation; the figure is their submission, not a regulator's finding. Characterise it accurately."
FIN-001-005,FIN-001,fact,2,"Italy, Malaysia, HSBC","Italian banks closed Iranian citizens' accounts in 2020, one customer told directly it was because of nationality. Malaysian banks conducted mass closures. HSBC discontinued accounts of customers from significantly sanctioned countries including Iran on internal risk assessment.","IT,MY,AE",2012-2020,iranian_men,0,0,,0,0,,5,,journalism,medium,Euronews / Gulf News,https://www.euronews.com/2020/02/13/italian-banks-are-closing-iranian-citizens-accounts-over-us-sanctions-is-it-legal,,
FIN-001-006,FIN-001,fact,3,What closure actually costs,"Losing the account means losing salary deposit, rent standing orders, utility direct debits, credit card and often the credit history attached to it. Rebuilding takes months and some of it does not come back.",*,2000-2026,iranian_men,200,5000,"Fees, missed payments, credit damage, re-establishment.",30,365,,5,Financial identity deleted without notice.,estimate,medium,,,,
FIN-001-007,FIN-001,fact,4,Being unbanked blocks immigration itself,"Proof of funds, settlement funds and sponsorship evidence all require bank statements. An applicant whose account was closed for being Iranian cannot produce the statements the immigration system demands.",*,2000-2026,iranian_men,0,0,,0,0,,5,One arm of the state demands what another arm's policy destroyed.,estimate,medium,,,,Strong structural point. Layer-5 target: find refusal decisions citing insufficient proof of funds where closure was the cause.
FIN-001-008,FIN-001,example,3,"EXAMPLE - told it was the nationality, out loud",An Italian bank customer was told directly that the account closure was because of her nationality; another concluded it was 'very likely' the cause after being given no explanation at all.,IT,2020,iranian_men,0,0,,0,0,,5,,journalism,medium,Euronews,https://www.euronews.com/2020/02/13/italian-banks-are-closing-iranian-citizens-accounts-over-us-sanctions-is-it-legal,,
FIN-001-009,FIN-001,example,3,EXAMPLE - 'more Catholic than the Pope',An affected academic described the banks' behaviour as being 'more Catholic than the Pope' - applying blanket nationality screening well beyond what sanctions law actually requires.,DE,2000-2026,iranian_men,0,0,,0,0,,4,,journalism,medium,The Local (Germany),https://www.thelocal.de/20130219/48061,,
FIN-001-010,FIN-001,scenario,4,"SCENARIO - thirty days' notice, no reason","Reza receives a letter from his German bank: the account will close in thirty days. No reason is given. His salary deposit, rent standing order, health insurance debit and two years of credit history are attached to it. He is a lawful resident on a Blue Card with a permanent employment contract.",DE,2000-2026,iranian_men,200,3000,,30,180,,5,A letter that ends your financial existence in one paragraph.,estimate,low,,,,
