issue_id,title,category,category_name,applies_to,applies_to_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
VIS-001,A visa is required almost everywhere,VIS,"Visas, permits and the right to arrive",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,global,2000,2026,,4,5,yes,no,150,900,30,240,3,official,high,The Iranian passport gives visa-free or visa-on-arrival access to roughly 40 destinations and none of them are the countries people actually emigrate to. Every move starts from a standing refusal.,details/VIS-001.csv,5
VIS-002,No US consular services inside Iran since 1980,VIS,"Visas, permits and the right to arrive",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,US,2000,2026,,4,5,partial,no,1200,4000,60,400,4,official,high,"The US embassy in Tehran has not issued visas since 1980, so every US visa application requires international travel to a third country before the process even begins.",details/VIS-002.csv,6
VIS-003,"US travel bans: restriction, lifting, reinstatement",VIS,"Visas, permits and the right to arrive",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,US,2017,2026,Restricted 2017-2021; open 2021-2025; restricted again from June 2025; full suspension from 1 Jan 2026.,5,5,yes,no,0,0,0,9999,5,official,high,Iran has been under some form of US entry restriction for most of the period since 2017. As of 1 January 2026 Iranian nationals face a complete suspension of both immigrant and non-immigrant visas.,details/VIS-003.csv,9
VIS-004,Refusal rates far above average,VIS,"Visas, permits and the right to arrive",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,"EU,US,UK,CA",2000,2026,,4,4,partial,partial,90,500,30,180,4,official,high,"Where Iranians can apply, they are refused more often. Elevated refusal is priced into every plan: applications are made in duplicate, and refusal itself becomes evidence against the next application.",details/VIS-004.csv,8
VIS-005,Administrative processing and 221(g) holds,VIS,"Visas, permits and the right to arrive",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,US,2000,2026,,5,4,partial,no,0,5000,60,900,5,legal,medium,"A consular officer who cannot decide issues a 221(g) and puts the case into administrative processing. For Iranian applicants, especially in STEM, this is close to routine and has no deadline.",details/VIS-005.csv,8
SEC-001,"Canada screened Iranians by nationality, age and sex",SEC,"Security screening, vetting and intelligence referral",iranian_men,Requires both Iranian nationality and being male,primary,,CA,2000,2018,Mandatory indicators abandoned August 2018; referral volumes stayed high.,5,4,partial,no,0,15000,180,1460,5,official,high,Before August 2018 Canada used a mandatory screening indicator for Iranian applications built on nationality combined with age and sex alone. Matching applicants were automatically referred to CBSA and CSIS. This is the single clearest documented instance of an Iranian man being screened for being an Iranian man.,details/SEC-001.csv,3
SEC-002,Volume and duration of Canadian security screening,SEC,"Security screening, vetting and intelligence referral",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,CA,2019,2026,,5,4,partial,no,0,20000,180,1825,5,official,high,"Referral to security screening rarely produces a refusal. It produces years of silence. The harm is the delay, and the delay is the part nobody is accountable for.",details/SEC-002.csv,17
SEC-003,US security advisory opinions and the Technology Alert List,SEC,"Security screening, vetting and intelligence referral",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,US,2000,2026,,4,4,partial,no,0,8000,60,730,5,official,medium,The US equivalent: applicants whose field touches the Technology Alert List are referred for a Security Advisory Opinion. Iranian nationality plus a technical field is close to an automatic referral.,details/SEC-003.csv,5
MIL-001,"Conscription is compulsory, and it gates the passport",MIL,Military service and the male exit problem,iranian_men,Requires both Iranian nationality and being male,primary,,IR,2000,2026,,5,5,yes,partial,0,25000,540,730,5,official,high,"Every Iranian man aged 18-49 owes 18-24 months of military service, and a man who has not served or been exempted generally cannot get a passport. The exit door is locked from the inside before any destination country is involved.",details/MIL-001.csv,13
MIL-002,Draft evasion as an asylum claim that is hard to win,MIL,Military service and the male exit problem,iranian_men,Requires both Iranian nationality and being male,primary,,"EU,CA,US,UK,AU",2000,2026,,4,3,partial,no,2000,25000,365,1825,5,legal,low,"Refusing conscription is a recognised basis for protection in principle, but proving it - and proving the punishment would be persecution rather than prosecution - is difficult and gendered.",details/MIL-002.csv,3
DOC-001,Iran is outside the Apostille Convention,DOC,"Documents, translation, legalisation and proof",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,global,2000,2026,,3,5,partial,yes,200,2000,20,120,4,official,high,"Iran is not a party to the 1961 Hague Convention, so no Iranian document can be apostilled. Every document needs the long consular legalisation chain instead.",details/DOC-001.csv,7
DOC-002,Name transliteration inconsistency,DOC,"Documents, translation, legalisation and proof",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,global,2000,2026,,2,4,no,partial,50,1500,7,180,3,estimate,medium,"Persian names have no single Latin spelling. Passport, degree, bank record and visa can each carry a different transliteration, and every mismatch reads to an officer as a possible identity discrepancy.",details/DOC-002.csv,3
DOC-003,Police certificates that cannot be obtained,DOC,"Documents, translation, legalisation and proof",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,"CA,AU,UK,EU",2000,2026,,4,4,partial,partial,100,1200,30,240,4,estimate,medium,"Most immigration programs require a police clearance from every country lived in. Obtaining an Iranian certificate generally requires presence in Iran or a legalised power of attorney, and the result may still be questioned.",details/DOC-003.csv,3
EDU-001,Iranian credentials are slow and expensive to verify,EDU,"Education, credentials and academic recognition",iranians,"Triggered by Iranian nationality, passport or place of birth",primary,,"CA,US,AU,EU",2000,2026,,3,5,partial,yes,250,1500,45,300,4,official,high,"Credential evaluation is required for most skilled-migration and licensing routes. The Iranian chain has more steps than most, and verification depends on institutions that may not answer.",details/EDU-001.csv,7
