detail_id,issue_id,row_type,layer,aspect,description,country,period,who,extra_money_usd_low,extra_money_usd_high,money_note,extra_time_days_low,extra_time_days_high,time_note,extra_energy_1_5,energy_note,evidence_type,confidence,source_name,source_url,source_date,notes
ARB-002-001,ARB-002,example,1,"EXAMPLE - Sweden 51.6%, Switzerland 90.3%","In 2024 Sweden refused 51.57% of Iranian Schengen applicants while Switzerland approved 90.25%. Same applicant profile, same Schengen rules, opposite odds depending on which consulate takes the file.",EU,2024,iranian_men,0,0,,0,0,,5,Your future decided by which building had an appointment.,official,high,"Schengen visa statistics, Iran",https://schengenvisainfo.com/statistics/iran/,,
ARB-002-002,ARB-002,example,1,"EXAMPLE - a visa granted after a year of vetting, revoked in an afternoon","The State Department granted Shahab Dehghani a student visa after a year of intense vetting. A CBP officer at Boston Logan revoked it the same day he arrived, on the same facts.",US,2020,iranian_men,0,0,,0,0,,5,"Two arms of one government, opposite conclusions, no appeal.",journalism,high,WBUR,https://www.wbur.org/news/2020/01/21/iranian-northeastern-cbp-immigration-deportation-shahab-dehghani-boston-logan,,
ARB-002-003,ARB-002,example,2,EXAMPLE - the border officer outranks the visa,"A visa is permission to travel to the border and ask. Entry is a separate discretionary decision made by one officer, on the day, with no realistic appeal from inside the airport.",*,2000-2026,iranian_men,0,0,,0,0,,5,"Everything you built, subject to one person's shift.",official,high,,,,
ARB-002-004,ARB-002,example,3,EXAMPLE - call centre advice that is wrong and binding,"Applicants act on telephone guidance - about eligibility, documents, timing - that turns out to be wrong. The advice is not recorded, is not binding on the department, and the consequence is entirely the applicant's.",*,2000-2026,iranian_men,0,0,,0,0,,5,Following the instructions and being penalised for it.,estimate,medium,,,,
ARB-002-005,ARB-002,example,3,EXAMPLE - the document that is valid until it is not accepted,"A counter refuses a document that meets the published requirement - wrong translator, wrong stamp, wrong colour of certification - and the applicant cannot escalate past the person in front of them.",*,2000-2026,iranian_men,0,0,,0,0,,5,,estimate,medium,,,,
ARB-002-006,ARB-002,example,4,"EXAMPLE - no written reasons, so no appeal","Where reasons are not given - ATAS refusals, UK visitor refusals, SSSS selection, bank closures - there is no stated ground to rebut, so the procedural right to challenge is formally intact and practically empty.",*,2000-2026,iranian_men,0,0,,0,0,,5,An appeal against nothing in particular.,official,high,,,,
ARB-002-007,ARB-002,example,4,EXAMPLE - you find out too late to fix it,"Errors commonly surface after the deadline they affected - a coverage gap discovered at a hospital, a permit error found at a renewal, a name error found at a border. By then the remedy is a new application, not a correction.",*,2000-2026,iranian_men,0,0,,90,1095,,5,,estimate,medium,,,,
ARB-002-008,ARB-002,example,5,EXAMPLE - the burden of proving the error is yours,"Systems presume their own record is correct. Establishing that an official got it wrong requires documents the applicant may not have been given, about a conversation that was not recorded, with a person who is not identified.",*,2000-2026,iranian_men,0,0,,0,0,,5,Disproving an institution from memory.,estimate,medium,,,,
ARB-002-009,ARB-002,example,5,EXAMPLE - and the correction becomes part of your file,"Once corrected, the file contains an inconsistency. Later officers see a record that changed, which is itself a flag - so being the victim of an error leaves a mark that looks like unreliability.",*,2000-2026,iranian_men,0,0,,0,0,,5,"Their mistake, on your permanent record.",estimate,low,,,,
ARB-002-010,ARB-002,scenario,3,SCENARIO - the officer who had a different view,"Omid and his classmate file identical study permit extensions two days apart, same school, same funds, same documents. Hers is approved in nineteen days. His is refused for insufficient proof of funds. They compare the packets line by line and cannot find a difference.",CA,2000-2026,iranian_men,150,3000,,90,240,,5,"Two identical files, two answers, no explanation for either.",estimate,low,,,,
