issue_id,title,category,category_name,applies_to,applies_to_note,tier,scope_note,countries,era_start,era_end,era_note,severity_1_5,frequency_1_5,blocking,reversible,money_usd_low,money_usd_high,time_days_low,time_days_high,energy_1_5,evidence,confidence,summary,detail_file,detail_count
MOV-001,925 obstacles between you and everywhere,MOV,"Movement, checkpoints and the permit regime",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,PS,2000,2026,,5,5,partial,no,200,4000,30,365,5,official,high,"Movement inside the West Bank is not a road network with some checkpoints on it. It is an obstacle regime that OCHA counts, item by item, and the count has been rising for three years.",details/MOV-001.csv,10
MOV-002,Applying for permission to move inside your own territory,MOV,"Movement, checkpoints and the permit regime",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,PS,2000,2026,,5,5,yes,partial,100,3000,14,365,5,ngo,high,"The permit is the master mechanism. It is discretionary, time-limited, purpose-bound, secret in its criteria, and can be refused by silence rather than by refusal.",details/MOV-002.csv,8
MOV-003,The flying checkpoint: an obstacle with no location,MOV,"Movement, checkpoints and the permit regime",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,PS,2000,2026,,4,5,partial,yes,0,0,10,120,5,estimate,low,"A staffed checkpoint can at least be routed around. A flying checkpoint is erected without notice on any road at any hour, which means no route is ever reliable and no journey can be planned.",details/MOV-003.csv,6
MOV-004,The colour of your number plate decides which roads exist,MOV,"Movement, checkpoints and the permit regime",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,PS,2000,2026,,4,5,partial,no,200,3000,20,200,4,ngo,high,"The road regime runs on vehicle registration, not on identity documents. A Palestinian-plated car is barred from roads that an Israeli-plated car uses freely, and the rule has never been written down.",details/MOV-004.csv,9
MOV-005,Area C: 60% of the West Bank you may cross but not use,MOV,"Movement, checkpoints and the permit regime",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,PS,2000,2026,,4,4,yes,no,0,0,0,0,4,official,high,"The Oslo division was meant to be transitional. Three decades on it is the planning regime, and the largest of the three areas is the one where Palestinian building, farming and infrastructure are effectively prohibited.",details/MOV-005.csv,5
BOR-001,"There is no airport, and the one nearby is closed to you",BOR,"Borders, crossings and the airport you are not allowed to use",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,"PS,JO,IL",2000,2026,,5,4,yes,no,200,1500,2,5,5,journalism,high,Gaza's airport was destroyed in 2002. Ben Gurion is an hour from Ramallah and West Bank Palestinians are barred from using it. The only way out is through Jordan.,details/BOR-001.csv,7
BOR-002,"Allenby: the single gateway, and what happens when it shuts",BOR,"Borders, crossings and the airport you are not allowed to use",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,"PS,JO",2000,2026,,5,4,yes,partial,100,2000,1,30,5,journalism,high,One crossing carries the entire outbound movement of the West Bank. A single point of failure is not a design flaw here; it is the design.,details/BOR-002.csv,5
BOR-003,"Rafah, and the price of a place in the queue",BOR,"Borders, crossings and the airport you are not allowed to use",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,"PS,EG",2007,2026,,5,4,yes,partial,300,10000,7,365,5,journalism,medium,"Gaza's crossing to Egypt has operated intermittently for two decades. When it opens, access to it is rationed - and the rationing has a price list.",details/BOR-003.csv,4
BOR-004,Being refused entry to the place you are from,BOR,"Borders, crossings and the airport you are not allowed to use",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,PS,2000,2026,,5,3,yes,no,500,20000,30,3650,5,estimate,low,"Return is not guaranteed. For a Palestinian abroad, going home is an application, and a refusal at the bridge is not appealable from outside.",details/BOR-004.csv,5
IDR-001,Israel holds the registry that says you exist,IDR,"The population registry, the colour of your ID, and residency",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,PS,1967,2026,,5,4,yes,partial,0,5000,30,3650,5,ngo,high,"The Palestinian population registry is controlled by Israel. Births, marriages, divorces, deaths and address changes all require Israeli approval before the Palestinian Authority may issue or amend an ID.",details/IDR-001.csv,6
IDR-002,"Green ID, blue ID, and what each one forbids",IDR,"The population registry, the colour of your ID, and residency",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,"PS,IL",1967,2026,,5,5,yes,no,0,0,0,0,5,estimate,low,"Which document you hold is mostly an accident of where a relative was standing in 1967. It determines which roads, cities, hospitals and countries are available to you for the rest of your life.",details/IDR-002.csv,5
IDR-003,Jerusalem residency as a privilege that can be withdrawn,IDR,"The population registry, the colour of your ID, and residency",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,IL,1967,2026,,5,3,yes,no,2000,100000,180,3650,5,ngo,high,"East Jerusalem Palestinians were made permanent residents, not citizens. Permanent residency is revocable, and the criteria for revoking it were widened after the fact.",details/IDR-003.csv,8
IDR-004,"Registered in Gaza, living in the West Bank: illegal at home",IDR,"The population registry, the colour of your ID, and residency",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,PS,2000,2026,,5,3,yes,no,1000,50000,365,9125,5,ngo,high,Since 2000 Israel has refused to let Gaza-registered Palestinians change their ID address to the West Bank. People born and raised in the West Bank are classified as illegal aliens in it.,details/IDR-004.csv,8
STA-001,"A passport that is a travel document, not a nationality",STA,"Status, statelessness and a passport that is not a nationality",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,*,1995,2026,,4,5,partial,no,500,8000,30,730,5,official,high,"The Palestinian Authority passport is accepted by many states as a travel document while conferring none of the things a nationality confers, because the issuing authority is not a state those countries recognise.",details/STA-001.csv,8
STA-002,"Statelessness, inherited",STA,"Status, statelessness and a passport that is not a nationality",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,"LB,SY,JO,EG,*",1948,2026,,5,4,yes,no,1000,50000,365,18250,5,official,high,"Refugee status passes down the generations, and most host states have deliberately not naturalised the people living in them for seventy years. The condition is heritable and the number therefore only grows.",details/STA-002.csv,6
STA-003,The document with no national number,STA,"Status, statelessness and a passport that is not a nationality",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,JO,1967,2026,,5,4,yes,partial,200,10000,30,730,5,official,high,"Jordan's ex-Gaza Palestinians hold a travel document that looks like a passport, functions as a residence permit, expires every two years, and is refused by several of the countries it would most be used for.",details/STA-003.csv,8
STA-004,"Naturalising abroad, and the political test attached",STA,"Status, statelessness and a passport that is not a nationality",palestinians,"Triggered by Palestinian identity, ID, passport or origin, anywhere",primary,,"DE,*",2024,2026,,4,3,yes,partial,500,15000,365,2555,5,legal,high,"In some states the route out of statelessness now carries a declaration about the conflict itself, which converts a citizenship application into a test of political opinion.",details/STA-004.csv,8
LND-001,The building permit that is not issued,LND,"Land, home demolition and the building permit nobody gets",under_occupation,"Faced by anyone living under the occupation, any gender",primary,,PS,2000,2026,,5,4,yes,no,5000,120000,365,3650,5,official,high,"Building legally in Area C requires a permit from the Israeli Civil Administration. The approval rate is close to zero and has been for twenty-five years, which means every Palestinian home built there is unlawful by construction.",details/LND-001.csv,7
